KKS_TAG,描述,单位,量程下限,量程上限,信号类型
YTSM007MP,主蒸汽压力007MP,MPa,0,10,模拟量
YTSM010MP,蒸汽管线压力010MP,MPa,0,10,模拟量
YTSM013MP,主蒸汽压力013MP,MPa,0,10,模拟量
YTSM011MP,蒸汽管线压力011MP,MPa,0,10,模拟量
YTSM014MP,蒸汽管线压力014MP,MPa,0,10,模拟量
YTSM015MP,蒸汽管线压力015MP,MPa,0,25,模拟量
YTSA131KG,131房间温度,°C,-20,80,模拟量
OOMC017,OOMC指令通道017,,0,1,开关量
